20015,BISC 108 - 01,Environ. Horticulture,42,0 / 42,Science Center 161,01:30 pm - 04:30 pm,MTh,Kristina Jones,Janet McDonough  Marcia Thomas,", NPS",More
20055,BISC 110 - 01,Intro Cellular Biology w/Lab,19,13 / 32,Science Center 274,08:30 am - 09:40 am,MTh,Marjory Levey,,NPS,More
20058,BISC 110 - 02,Intro Cellular Biology w/Lab,30,2 / 32,Science Center 274,09:50 am - 11:00 am,MTh,Kimberly O'Donnell,,NPS,More
20075,BISC 110 - L01,LAB: BISC 110 & 112,15,1 / 16,Science Center 310,01:30 pm - 05:00 pm,M,Melissa Beers,,NPS,More
24528,BISC 110 - L02,LAB: BISC 110 & 112,16,0 / 16,Science Center 310,12:30 pm - 04:00 pm,T,Jocelyne Dolce,,NPS,More
20105,BISC 110 - L03,LAB: BISC 110 & 112,9,7 / 16,Science Center 310,08:30 am - 12:00 pm,W,Leah Okumura,,NPS,More
20120,BISC 110 - L04,LAB: BISC 110 & 112,11,5 / 16,Science Center 310,01:00 pm - 04:30 pm,Th,Jocelyne Dolce,,NPS,More
20293,BISC 110 - L05,LAB: BISC 110 & 112,13,3 / 16,Science Center 310,06:00 pm - 09:30 pm,Th,Melissa Beers,,NPS,More
20294,BISC 110 - L06,LAB: BISC 110 & 112,6,10 / 16,Science Center 310,01:00 pm - 04:30 pm,F,Jocelyne Dolce,,NPS,More
20168,BISC 111 - 01,Intro Organismal Biology w/Lab,19,13 / 32,Science Center 264,08:30 am - 09:40 am,MTh,Jaclyn Matthes,,"NPS, QRF",More
20202,BISC 111 - 02,Intro Organismal Biology w/Lab,32,0 / 32,Science Center E111,09:50 am - 11:00 am,TF,Emily Buchholtz,,"NPS, QRF",More
20200,BISC 111 - L01,LAB: BISC 111 & 113,16,0 / 16,Science Center 316,01:30 pm - 05:00 pm,M,Leah Okumura,,"NPS, QRF",More
20201,BISC 111 - L02,LAB: BISC 111 & 113,16,0 / 16,Science Center 316,12:30 pm - 04:00 pm,T,Julie Roden,,"NPS, QRF",More
20204,BISC 111 - L03,LAB: BISC 111 & 113,13,3 / 16,Science Center 316,02:15 pm - 05:45 pm,W,Janet McDonough,,"NPS, QRF",More
20203,BISC 111 - L04,LAB: BISC 111 & 113,14,2 / 16,Science Center 316,01:00 pm - 04:30 pm,Th,Leah Okumura,,"NPS, QRF",More
20584,BISC 111 - L05,LAB: BISC 111 & 113,8,8 / 16,Science Center 316,01:00 pm - 04:30 pm,F,Julie Roden,,"NPS, QRF",More
21452,BISC 111T - 01,Intro Organismal Biology w/Lab,11,1 / 12,Science Center 267,11:10 am - 12:20 pm,MTh,Martina Koniger,,"NPS, QRF",More
21264,BISC 112 - 01,Expl Cellular Bio w/Lab,14,2 / 16,Science Center 558,09:50 am - 11:00 am,T,Adam Matthews,,NPS,More
21370,BISC 112 - 02,Expl Cellular Bio w/Lab,7,9 / 16,Science Center 558,09:50 am - 11:00 am,F,Adam Matthews,,NPS,More
21363,BISC 112 - L01,LAB: BISC 110 & 112,15,1 / 16,Science Center 310,01:30 pm - 05:00 pm,M,Melissa Beers,,NPS,More
